vertex,flat_x_mm,flat_y_mm,source_x_mm,source_y_mm,source_z_mm,u,v
0,10.00000000000041,275.03561227887985,44.777885483487,501.10054557786,28.781388823676,265.0356120632134,5.000000000012412
1,45.000001426723664,275.03561209304365,44.777885483488,536.10054557786,28.781388823678,265.0356120632114,40.00000000001486
2,45.000001426723145,10.000000026547742,261.88234891444,536.10054557785,180.79957069703,-1.4816425192232525e-12,39.99999999999994
3,10.000000000000007,10.000000212381938,261.88234891444,501.10054557785,180.79957069703,0.0,5.000000000002556
