panel_A,panel_B,shared_segments,source_mesh_length_mm,flat_A_length_mm,flat_B_length_mm,difference_mm,difference_percent
F05,F07,74,171.87317316193239,171.88446710028464,171.88446710028464,0.0,0.0
F06,F08,74,171.87317316193204,171.8841736592473,171.88417365924732,2.842170943040401e-14,1.6536443068765716e-14
F27,F28,58,144.42406155647083,144.5551536437888,144.5774412287044,0.022287584915602565,0.015432044131294537
F28,F29,55,132.51591854709906,132.64756821164494,132.67423355054362,0.026665338898681057,0.02012236657379665
F29,F30,59,114.32964306357563,114.47830495926837,114.4701459170749,0.00815904219346919,0.007136418845401421
