done,process,id,assembly,material,quantity,file,sheet
,Wood cutting,FEC1,FEC1,Plywood,1,Reference_Profiles/FEC1.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FES0,FES0,Plywood,1,Reference_Profiles/FES0.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FES1,FES1,Plywood,1,Reference_Profiles/FES1.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FTM0,FTM0,Plywood,1,Reference_Profiles/FTM0.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FTM1,FTM1,Plywood,1,Reference_Profiles/FTM1.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FF0R,FF0R,Plywood,1,Reference_Profiles/FF0R.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FF0U,FF0U,Plywood,1,Reference_Profiles/FF0U.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FF0L,FF0L,Plywood,1,Reference_Profiles/FF0L.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FF2R,FF2R,Plywood,1,Reference_Profiles/FF2R.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FF2U,FF2U,Plywood,1,Reference_Profiles/FF2U.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FF2L,FF2L,Plywood,1,Reference_Profiles/FF2L.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,TRS,TRS,Plywood,1,Reference_Profiles/TRS.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,TLS,TLS,Plywood,1,Reference_Profiles/TLS.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,MTR,MTR,Plywood,1,Reference_Profiles/MTR.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,MTL,MTL,Plywood,1,Reference_Profiles/MTL.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,LCR_I,LCR_I,Plywood,1,Reference_Profiles/LCR_I.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,LCR_O,LCR_O,Plywood,1,Reference_Profiles/LCR_O.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,LCR_DF,LCR_DF,Plywood,1,Reference_Profiles/LCR_DF.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,LCR_DA,LCR_DA,Plywood,1,Reference_Profiles/LCR_DA.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WBR_I,WBR_I,Plywood,1,Reference_Profiles/WBR_I.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WBR_O,WBR_O,Plywood,1,Reference_Profiles/WBR_O.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WBR_DF,WBR_DF,Plywood,1,Reference_Profiles/WBR_DF.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WBR_DA,WBR_DA,Plywood,1,Reference_Profiles/WBR_DA.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,LCL_I,LCL_I,Plywood,1,Reference_Profiles/LCL_I.dxf,REAPER_REV4_PLY_PANEL_01.dxf
