mass_case,mass_kg,assumed_CLmax,assumed_air_density,stall_m_s,stall_km_h,reference_1p3Vs_m_s
estimated_g,2.513708033502572,0.8,1.1,13.57892992330226,48.884147723888134,17.65260890029294
estimated_g,2.513708033502572,0.8,1.225,12.867490174320865,46.322964627555116,16.727737226617126
estimated_g,2.513708033502572,1.0,1.1,12.145364148083946,43.723310933102205,15.78897339250913
estimated_g,2.513708033502572,1.0,1.225,11.50903309183683,41.43251913061259,14.96174301938788
estimated_g,2.513708033502572,1.2,1.1,11.087149855033486,39.91373947812055,14.413294811543532
estimated_g,2.513708033502572,1.2,1.225,10.506261732454096,37.82254223683475,13.658140252190325
low_g,2.114861797334957,0.8,1.1,12.45515471553987,44.83855697594353,16.19170113020183
low_g,2.114861797334957,0.8,1.225,11.802592827791853,42.489334180050676,15.34337067612941
low_g,2.114861797334957,1.0,1.1,11.140229045689681,40.104824564482854,14.482297759396586
low_g,2.114861797334957,1.0,1.225,10.556559949477624,38.00361581811945,13.723527934320911
low_g,2.114861797334957,1.2,1.1,10.169591240164149,36.610528464590935,13.220468612213393
low_g,2.114861797334957,1.2,1.225,9.636776689974152,34.69239608390695,12.527809696966397
high_g,3.073025350389451,0.8,1.1,15.013819901335186,54.04975164480667,19.517965871735743
high_g,3.073025350389451,0.8,1.225,14.227202080771297,51.217927490776674,18.495362705002687
high_g,3.073025350389451,1.0,1.1,13.428768760529865,48.34356753790751,17.457399388688824
high_g,3.073025350389451,1.0,1.225,12.725196392892432,45.810707014412756,16.54275531076016
high_g,3.073025350389451,1.2,1.1,12.258732616104828,44.13143741797738,15.936352400936277
high_g,3.073025350389451,1.2,1.225,11.616461855117596,41.81926267842334,15.101400411652875
